ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Downloads;Price
1572241381;The Self-Esteem Companion;Matthew McKay;1999;New Harbinger Publications;1;49,9
345443411;What Women Want: What Every Man Needs to Know About Sex, Romance, Passion, and Pleasure;Laurence Roy Stains;2002;Ballantine Books;2;249,9
192802542;Dada and Surrealism: A Very Short Introduction (Very Short Introductions);David Hopkins;2004;Oxford University Press;0;109,9
60928204;Creativity : Flow and the Psychology of Discovery and Invention;Mihaly Csikszentmihalyi;1997;Perennial;0;0
1592400876;"Eats, Shoots &amp; Leaves: The Zero Tolerance Approach to Punctuation";Lynne Truss;2004;Gotham Books;1;49,9
140282378;The Big Book of Calm;Paul Wilson;1999;Michael Joseph;7;194
435240765;Diary of a Language Teacher;Joachim Appel;0;Heinemann;4;0
316779490;Naked;David Sedaris;1997;"Little Brown &amp; Co";2;29,95
767902513;A Walk in the Woods: Rediscovering America on the Appalachian Trail;Bill Bryson;1998;Bantam Dell Pub Group;0;399
038531809X;Why Not Me?: The Inside Story of the Making and Unmaking of the Franken Presidency;Al Franken;1999;Bantam Dell Pub Group;2;54,99
068815252X;Book;Whoopi Goldberg;1997;"William Morrow &amp; Company";17;99,9
078686351X;Dirty Jokes and Beer : Stories of the Unrefined;Drew Carey;1997;Hyperion Books;1;69,9
375706410;Waiting (Vintage International);Ha Jin;2000;Vintage Books USA;0;89,9
753811464;Maya;Jostein Gaarder;0;Phoenix mass market p/bk;2;59,9
452266688;The Portable Curmudgeon;Jon Winokur;1992;Plume Books;1;0
340697687;Film Studies (Teach Yourself Educational S.);Warren Buckland;1998;Hodder Arnold Teach Yourself;6;149
130289221;Becoming a Critical Thinker: A User Friendly Manual (3rd Edition);Sherry Diestler;2000;Pearson Education;4;199
806957050;"Sit &amp; Solve - Lateral Thinking Puzzles";Paul Sloane;2002;Sterling Publishing;2;99,9
517084732;Good Advice : More Than 2,000 Quotations to help You Live Your Life;WILLIAM SAFIRE;1993;Gramercy;0;206
020530902X;The Elements of Style, Fourth Edition;William Strunk Jr.;2000;Pearson Higher Education;21;89,9
073520313X;How to Say It Style Guide;Rosalie Maggio;2002;Prentice Hall Art;0;139
130891347;Asking the Right Questions: A Guide to Critical Thinking (6th Edition);M. Neil Browne;2000;Prentice Hall;2;199
465021433;The Evolution of Desire: Strategies of Human Mating;David M. Buss;1995;Basic Books;1;272
1565115228;Pretty Good Joke Book: A Prairie Home Companion (Prairie Home Companion);Garrison Keillor;2001;Highbridge Audio;1;8
380810336;Feeling Good : The New Mood Therapy;David D. Burns;1999;Avon;1;72
809225034;Talking the Winner's Way: 92 Little Tricks for Big Success in Business and Personal Relationships;Leil  Lowndes;1999;McGraw-Hill;1;120
061819729X;The Playful Way to Serious Writing: An Anything-Can-Happen Workbook to Inspire and Delight;Roberta Allen;2002;Mariner Books;4;59,9
1565122798;Educating Esme: Diary of a Teacher's First Year;Esme Raji Codell;2001;Algonquin Books of Chapel Hill;11;139
1581820542;"The Little Book of Big Ideas: Inspiration, Encouragement &amp; Tips to Stimulate Creativity and Improve Your Life";Harold R. McAlindon;1999;Cumberland House Publishing;2;119
425166791;Undoing Depression: What Therapy Doesn't Teach You and Medication Can't Give You;Richard O'Connor;1999;Berkley Publishing Group;3;176
452284058;What Every American Should Know About the Rest of the World: Your Guide to Today's Hot Spots, Hot Shots, and Incendiary Issues;M. L. Rossi;2003;Plume Books;15;149
1564146731;The Know-It-All's Guide to Life: How to Climb Mount Everest, Cure Hiccups, Live to 100, and Dozens of Other Practical, Unusual, or Just Plain Fantastical Things;John T. Walbaum;2003;Career Press;0;99,9
767910079;A Big New Free Happy Unusual Life: Self-Expression and Spiritual Practice for Those Who Have Time for Neither;Nina Wise;2002;Broadway Books;1;349
486401464;Oscar Wilde's Wit and Wisdom: A Book of Quotations (Dover Thrift Editions);Oscar Wilde;1998;Dover Publications;8;324
880841109;The Children's Response: Beyond Tpr Toward Writing;Caroline Linse;1983;Alemany Press;0;229
811201090;Colossus of Maroussi;Henry Miller;1975;New Directions Publishing Corporation;1;0
140621407;Fairy Tales (Penguin Popular Classics);H.C. Andersen;1995;Penguin Books Ltd;5;119
140620281;Nostromo (Penguin Popular Classics);Joseph Conrad;1994;Penguin Books Ltd;7;176
201895293;101 Bright Ideas: Esl Activities for All Ages;Claire Maria Ford;1996;Pearson Higher Education;1;126
1585420611;Women Can't Hear What Men Don't Say: Destroying Myths, Creating Love;Warren Farrell Ph.D.;2000;Jeremy P. Tarcher;18;79,9
553211978;Northanger Abbey (Bantam Classic);Jane Austen;1985;Bantam Classics;1;100
553274503;Flowers for Algernon (Bantam Classic);DANIEL KEYES;1984;Bantam;1;119
440224659;Sooner or Later;Elizabeth Adler;1998;Dell Publishing Company;4;89,9
1841492086;The Portable Door;Tom Holt;2004;Orbit Book Co.;3;89,9
345308239;March of Folly: From Troy to Vietnam;Barbara W. Tuchman;1992;Ballantine Books;1;0
330357190;Loose living;Frank Moorhouse;1995;Picador;2;109
413537900;The Secret Diary of Adrian Mole Aged 13 3/4;Sue Townsend;1982;Methuen Publishing Ltd;2;164
1860467776;Jerk on One End: Reflections of a Mediocre Fisherman;Robert Hughes;2000;Harvill Press;1;29,9
671757059;Prize the Epic Quest for Oil Money and Pow;Daniel Yergin;1991;Pocket Books;2;149
671511424;DEVIL IN A BLUE DRESS (Easy Rawlins Mysteries (Paperback));Walter Mosley;1995;Pocket;1;139
425133540;The Sum of All Fears (Jack Ryan Novels);Tom Clancy;1996;Berkley Publishing Group;5;99,9
743469801;Why Girls Are Weird : A Novel;Pamela Ribon;2003;Downtown Press;7;79,99
590110225;The Mighty;Rodman Philbrick;1998;Scholastic;10;119
835902242;Adventures of Huckleberry Finn;Mark Twain;1992;Globe Fearon;1;94
425173755;Murder on the Orient Express (Hercule Poirot Mysteries (Paperback));Agatha Christie;2000;Berkley Publishing Group;3;0
451199871;The Body in the Library (Miss Marple Mysteries (Paperback));Agatha Christie;2000;Signet Book;1;199
963144839;Half Life: What We Give Up to Work;Jeannette Batz;1993;Booksource;1;49,9
373196903;Her Pregnant Agenda : Marrying The Boss's Daughter (Silhouette Romance, 1690);Linda Goodnight;2003;Silhouette;0;160
373196962;To Wed A Sheik   Desert Brides (Silhouette Romance, 1696);Teresa Southwick;2003;Silhouette;13;199
671822209;WLD ACCORDNG GARP;John Irving;1979;Pocket;2;119
64409430;The Magician's Nephew (The Chronicles of Narnia, Book 1, Full-Color Collector's Edition);C. S. Lewis;2000;HarperTrophy;5;99,9
380752107;Midnight Masquerade;Shirlee Busbee;1988;Avon Books;6;149
425194493;Flashback;Nevada Barr;2004;Berkley Publishing Group;4;249
531103099;New Zoos (First Book Series);Madelyn K. Anderson;1987;Scholastic Library Pub;4;153,3
380728125;Wedding Night;Gary Devon;1997;AVON;19;199
671722816;Othello;William Shakespeare;1993;Washington Square Press;6;99,9
1563521024;You're Not a Kid Anymore When...;Jeff Foxworthy;1993;Longstreet Press;2;59,9
312267819;Stalin's Silver: The Sinking of the U.S.S. John Barry;John Beasant;2000;St. Martin's Press;25;299
842361715;This Present Darkness;Frank E. Peretti;2002;Living Books;6;299
446527289;The First Counsel;Brad Meltzer;2001;Warner Books;16;299
743457900;Tinker, Tailor, Soldier, Spy;John le Carre;2002;Scribner;2;229
394830148;The Berenstain Bears and Too Much Vacation (First Time Books);Stan Berenstain;1989;Random House Children's Books;1;19,99
345384350;Icebound;Dean R. Koontz;1995;Ballantine Books;13;349
60175532;Young Wives;Olivia Goldsmith;2000;HarperCollins Publishers;6;249
811200701;The Berlin Stories: The Last of Mr. Norris and  Goodbye to Berlin (New Directions Book);Christopher Isherwood;1963;J. Laughlin;13;149
671023373;Man's Search For Meaning;Viktor E. Frankl;1997;Pocket;13;99,9
679748083;The Kitchen God's Wife (Vintage Contemporaries);Amy Tan;1993;Vintage Books USA;1;149,9
830819223;So You Want to Be a Stay-At-Home Mom;Cheryl Gochnauer;1999;InterVarsity Press;1;149,9
425175405;Black Notice;Patricia Daniels Cornwell;2000;Berkley Publishing Group;8;109
380731851;Mystic River;Dennis Lehane;2002;HarperTorch;3;79,9
749930721;Hitched;Z. Barnes;1998;Judy Piatkus Publishers Ltd;0;0
380009560;Fantastic Imagination;Robert Boyer;1978;Harper Mass Market Paperbacks (Mm);1;0
345298365;Six of Swords;Carole Nelson Douglas;1982;Del Rey Books;4;0
380776510;Paradise Wild;Johanna Lindsey;1981;Avon;2;519
880781210X;iI Paradiso Degli Orchi;Daniel Pennac;1994;Universale Economica Feltrinelli;7;519
1570422826;The Celestine Prophecy : An Experiential Guide;Carol Adrienne;1995;Time Warner Audio Major;9;59,9
2070368076;Huis Clos Suivi de Les Mouches (Folio Ser. No. 807);Jean-Paul Sartre;1964;Distribooks;25;349
312874995;Escape from Kathmandu;Kim Stanley Robinson;2000;Orb Books;19;176
425185702;McNally's Chance;Lawrence Sanders;2002;Berkley Publishing Group;3;199
886771560;The Year's Best Horror Stories: Series XIV;Edward Karl Wagner;1986;New Amer Library (Mm);25;199
684862719;Pay It Forward: A Novel;Catherine Ryan Hyde;2000;"Simon &amp; Schuster";1;299
8585622032;Bola da vez: Romance policial (Coleção Romance policial brasileiro);Muniz Sodré;1993;Notrya Editora;14;122,15
8570070063;A corrente de Trewis Scott;Roberto Schneider;1985;Nórdica;9;199
8532501192;As valkírias;Paulo Coelho;1992;Rocco;25;149,9
8485229606;La crónica del Perú (Crónicas de América);Pedro de Cieza de León;1984;Historia 16;25;349
552998338;Blast From the Past;Ben Elton;1999;Bantam Doubleday Dell;6;369
051748904X;A Treasury of Irish Myth, Legend, and Folklore;Claire Booss;1986;Gramercy Books;10;399
087226002X;Celtic Mythology (Library of the World's Myths and Legends);Proinsias Mac Cana;1985;Peter Bedrick Books;2;199
1855853906;Ancient Celtic Romances;P W Joyce;0;Parkgate Books;6;164
1850630127;The Western way: A practical guide to the Western mystery tradition;Caitlin Matthews;1985;"Routledge &amp; K. Paul";1;129
385304366;Wings;Terry Pratchett;1991;Random House Childrens Books;1;99,9
385299842;Truckers;Terry Pratchett;1990;Random House Childrens Books;1;88
1555910408;Keepers of the Earth Teachers Guide;Michael J Caduto;1988;Fulcrum Publishing;1;0
071411393X;The Celts Activity Book;British Museum;2000;Parkwest Publications;2;176
713723076;The Art Of Celtia;Courtney Davis;1997;Sterling Publishing;2;229
486243451;The Book of Kells: Selected Plates in Full Color;Blanche Cirker;1982;Dover Publications;1;109
684859262;"SINGLE &amp; SINGLE";John le Carre;1999;Scribner;1;249
684836491;Apocalypse Wow;James Finn Garner;1997;"Simon &amp; Schuster";3;69,9
671614460;COPS;Mark Baker;1986;Pocket;3;176
345452550;A Cold Heart: An Alex Delaware Novel;JONATHAN KELLERMAN;2003;Ballantine Books;12;164
399147357;Dead Sleep;Greg Iles;2001;G. P. Putnam's Sons;1;79,99
740704532;Random Acts Of Management:A Dilbert Book;Scott Adams;2000;Andrews McMeel Publishing;1;19,9
836221974;Conversations With Dogbert: A Dilbert Book;Scott Adams;1996;Andrews McMeel Publishing;1;29,9
836228790;The Dilbert Bunch: A Dilbert Book (Main Street Editions);Scott Adams;1997;Andrews McMeel Publishing;0;0
836221966;You Don't Need Experience if You've Got Attitude;Scott Adams;1996;Andrews McMeel Publishing;5;149
836232232;The Boss: Nameless, Blameless and Shameless (Adams, Scott, Dilbert Book,);Scott Adams;1997;Andrews McMeel Publishing;1;0
345452534;The Murder Book;JONATHAN KELLERMAN;2002;Ballantine Books;0;199
312717415;Shock-Trauma;Jon Franklin;1980;St. Martin's Press;2;79,99
316602051;The Jester;James Patterson;2003;Little, Brown;3;249
688156126;"Jupiter's Bones: A Novel (Peter Decker &amp; Rina Lazarus Novels (Hardcover))";Faye Kellerman;1999;Harpercollins;0;99,9
1552976246;Silent Witness: How Forensic Anthropology Is Used to Solve the World's Toughest Crimes;Roxana Ferllini Timms;2002;Firefly Books Ltd;21;349
440221420;No Witnesses: A Novel;Ridley Pearson;1996;Island;0;149
553573977;The Hancock Boys;Thomas William Simpson;2000;Bantam Books;3;79,9
684867583;Dead Reckoning: The New Science of Catching Killers;Michael Baden;2001;"Simon &amp; Schuster";11;149
451197879;Roadwork;Richard Bachman;1999;Signet Book;1;69,9
380796090;Watermelon;Marian Keyes;1999;Avon;8;149
446604666;Sick Puppy;Carl Hiaasen;2001;Warner Vision;1;29,9
312860951;Reliquary;Douglas Preston;1997;St Martins Pr;1;0
340792655;Turning Thirty;Mike Gayle;2001;"Hodder &amp; Stoughton General Division";4;99,9
61015725;Prey;Michael Crichton;2003;Avon Books;0;0
593043995;The Visitor (A Jack Reacher Novel);Lee Child;2000;Transworld Publishers Ltd;4;39,9
1855681870;Haunted Yorkshire;W.R. Mitchell;2000;Dalesman Publishing Company Ltd;0;0
553579754;Fear Nothing;DEAN KOONTZ;1998;Bantam;6;149
425181200;Dale Brown's Dreamland;Dale Brown;2001;Berkley Publishing Group;8;89,9
451163494;The Key to Rebecca;Ken Follett;1989;Signet Book;1;89,9
425157164;Shadows of Steel;Dale Brown;1997;Berkley Publishing Group;1;139
449221482;J Is for Judgment;Sue Grafton;1999;Fawcett Books;1;164
316154067;Void Moon;Michael Connelly;1999;Little, Brown;1;279,3
312958455;The Last Coyote (Last Coyote);Michael Connelly;1996;St. Martin's Press;2;181,82
515120863;Killing Critics (Kathleen Mallory Novels (Paperback));Carol O'Connell;1997;Jove Books;4;0
553279912;A Is for Alibi (Kinsey Millhone Mysteries (Paperback));SUE GRAFTON;1987;Bantam;1;0
345353145;Sphere;MICHAEL CRICHTON;1988;Ballantine Books;15;179
553348973;Still Life with Woodpecker;TOM ROBBINS;1990;Bantam;6;229
446516538;Slow Waltz in Cedar Bend;Robert James Waller;1993;Warner Books;0;0
440214041;The Pelican Brief;John Grisham;1993;Dell;25;139,3
679446486;Airframe;Michael Crichton;1996;Alfred A. Knopf;3;129
802116825;Death of a River Guide;Richard Flanagan;2001;Grove Press;4;149
846705672;American Way of Sex: An Informal Illustrated History (254p);Bradley Smith;1978;Book Sales;6;149
841502439;"Christopher and gay;: A partisan's view of the Greenwich Village homosexual scene";Wallace Hamilton;1973;Saturday Review Press;25;349
380717972;Halfway Home;Paul Monette;1992;Harpercollins;1;79,99
312028784;The Boys and Their Baby (Stonewall Inn Editions);Larry Wolff;1989;St Martins Pr;10;99,9
807079200;Gay Ideas: Outing and Other Controversies;Richard D. Mohr;1992;Houghton Mifflin;18;149
878670319;The gay liberation book;Len Richmond;1973;Ramparts Press;1;49,9
896082172;Culture Clash: The Making of Gay Sensibility;Michael Bronski;1984;South End Press;2;149
226067114;Christianity, Social Tolerance, and Homosexuality: Gay People in Western Europe from the Beginning of the Christian Era to the Fourteenth Century;John Boswell;1981;University of Chicago Press;1;140
393011224;The Age of Sensation;Herbert Hendin;1975;"W. W. Norton &amp; Company";1;120
60167084;Making History: The Struggle for Gay and Lesbian Equal Rights, 1945-1990 : An Oral History;Eric Marcus;1992;Harpercollins;0;99
415907411;Queer Looks: Perspectives on Lesbian and Gay Film and Video;Martha Gever;1993;Routledge;0;89,9
472095978;The Male Body: Features, Destinies, Exposures;Laurence Goldstein;1995;UMP;2;199
1565842103;A Queer Reader;Patrick Higgins;1994;New Press;2;59,9
385239068;After the Ball: How America Will Conquer Its Fear and Hatred of Gays in the '90s;Marshall Kirk;1989;Bantam Dell Pub Group;8;89,9
525943730;Walt Whitman: A Gay Life;Gary Schmidgall;1997;Dutton Books;25;176
802130259;Out Front: Contemporary Gay and Lesbian Plays;Don Shewey;1988;Pub Group West;1;23
877736510;Same-Sex Love : And the Path to Wholeness;ROBERT H. HOPCKE;1993;Shambhala;1;158
151002231;Homosexuality In History;Colin Spencer;1996;Harcourt;2;255
1895857058;On the Safe Edge: A Manual for SM Play;Trevor Jacques;1993;Alternate Sources;0;0
525480374;Get the Message?: A Decade of Art for Social Change;Lucy R. Lippard;1984;Penguin USA;2;0
812822625;The Gay Tapes: A Candid Discussion About Male Homosexuality;David Gottlieb;1977;Natl Book Network;3;39,9
890876096;So Little Time: Essays on Gay Life;Mike Hippler;1990;Celestial Arts;0;106
1560238763;"Reviving the Tribe: Regenerating Gay Men's Sexuality and Culture in the Ongoing Epidemic (Haworth Gay &amp; Lesbian Studies)";Eric E. Rofes;1995;Haworth Press;1;59,9
62507567;The Thirteen Original Clan Mothers : Your Sacred Path to Discovering the Gifts, Talents, and Abilities of the Feminin;Jamie Sams;1994;HarperSanFrancisco;1;199,9
553476580;Alchemist;Paulo Coelho;1995;Random House Audio;0;0
076071150X;Writing for Dollars;John Mccollister;0;Barnes Noble Books;3;299,9
1561707236;Soul's Perfection (Journey of the Soul);Sylvia Browne;2000;Hay House;1;199
1561707244;The Nature of Good and Evil (Journey of the Soul Series, Book 3);Sylvia Browne;2001;Hay House;2;109
1561706213;Adventures of a Psychic: The Fascinating Inspiring True-Life Story of One of America's Most Successful Clairvoyants;Sylvia Browne;1998;Hay House;16;80
525945040;The Other Side and Back: A Psychic's Guide to Our World and Beyond;Sylvia Browne;1999;Penguin Putnam;1;29,9
743400720;The Camino;Shirley MacLaine;2000;Atria;1;0
553274384;Don't Fall Off the Mountain;Shirley MacLaine;1985;Bantam Books;1;89,9
1880032627;Creative Visualization: Use the Power of Your Imagination to Create What You Want in Your Life;Shakti Gawain;1995;New World Library;1;49,9
915811898;Way of the Peaceful Warrior, 20th Anniversary Edition: A Book That Changes Lives;Dan Millman;2000;H.J. Kramer;25;59,9
385315287;Running from Safety: An Adventure of the Spirit;Richard Bach;1995;Delta;25;129
440108268;The Bridge Across Forever;Richard Bach;1986;Dell;1;24,9
440204321;A Gift of Wings;Richard Bach;1989;Dell;1;229
044020562X;One;Richard Bach;1989;Dell;2;229
446676489;The Secret of Shambhala : In Search of the Eleventh Insight;James Redfield;2001;Warner Books;25;99
1577310454;Maps to Ecstasy: A Healing Journey for the Untamed Spirit;Gabrielle Roth;1998;New World Library;25;199
140298479;Bridget Jones: The Edge of Reason;Helen Fielding;2001;Penguin Books;25;199
694524638;Invitation;Oriah Mountain Dreamer;2000;HarperAudio;0;99,9
912365579;Chief Seattle (Northwest Mythic Landscape Series);David Buerge;1992;Pub Group West;8;299
1882591275;Write from the Heart: Unleashing the Power of Your Creativity;Hal Zina Bennett;1995;Pub Group West;16;439,9
811812006;The Secret Language of the Stars and Planets: A Visual Key to the Heavens;Geoffrey Cornelius;1996;Chronicle Books Llc;5;219
809237628;Chris-In-The-Morning: Love, Life, and the Whole Karmic Enchilada;Louis Chunovic;1993;McGraw-Hill;25;199
809237601;The Northern Exposure Cookbook: A Community Cookbook from the Heart of the Alaskan Riviera;Ellis Weiner;1993;McGraw Hill - NTC;7;249
806514094;Northern Exposure: The Official Publication of the Television Series;Louis Chunovic;1993;Carol Pub Group;1;199
786860642;Northern Exposures: Photographs;Rob Morrow;1994;Hyperion Books;10;299
671777351;Letters from Cicely;Ellis Weiner;1992;Pocket;1;0
067084487X;The Stinky Cheeseman and Other Fairly Stupid Tales (Caldecott Honor Book);Jon Scieszka;1993;Viking Books;1;199
821211226;Portfolios of Ansel Adams;Ansel E. Adams;1981;Bulfinch Press;25;120
62508482;Every Part of This Earth Is Sacred: Native American Voices in Praise of Nature;Jana Stone;1993;HarperCollins;25;250
912776412;Beyond Birth and Death;A. C. Bhaktivedanta Swami Prabhupada;1972;Bhaktivedanta Book Trust;2;129
892132701;Journey of Self-Discovery;A. C. Bhaktivedanta Swami Prabhupada;1990;Bhaktivedanta Book Trust;17;139
553255959;The Complete Book of Palmistry;Joyce Wilson;1983;Bantam Books;9;119,9
385484100;The Language of Life: A Festival of Poets;Bill D. Moyers;1996;Main Street Books;2;129
140422226;Walt Whitman: The Complete Poems (Penguin Classics);Francis Murphy;1990;Penguin Books;25;199
62509594;Essential Rumi;Coleman Barks;1997;HarperSanFrancisco;4;174,3
446673714;The Soul's Code : In Search of Character and Calling;James Hillman;1997;Warner Books;8;199
62500287;The Flight of the Seventh Moon: The Teaching of the Shields;Lynn Andrews;1985;HarperCollins Publishers;25;199
1577311868;Developing Intuition: Practical Guidance for Daily Life;Shakti Gawain;2001;New World Library;3;149
62513346;The Valkyries;Paulo Coelho;1996;HarperSanFrancisco;1;29,9
30020786;Principles of Instrumental Analysis;Douglas A. Skoog;1997;Brooks Cole;1;149
133502813;Chemistry;John McMurry;1994;Prentice Hall;3;33,99
716724022;Physical Chemistry;P. W. Atkins;1994;"W.H. Freeman &amp; Company";5;59,9
525462325;Pooh (Giant Board Book);A. A. Milne;1999;Dutton Books;3;149
60256664;The Giving Tree;Shel Silverstein;1964;HarperCollins;0;0
794505007;Dream Pony (Sandy Lane Stables);Susannah Leigh;2003;Educational Development Corporation;0;0
786889020;Don't Stand Too Close to a Naked Man;Tim Allen;1995;Hyperion;0;0
786861320;The Wall Street Journal Lifetime Guide to Money : Strategies for Managing Your Finances;Staff of the Wall St Journal;1997;Hyperion;3;79,99
688149790;Babyhood;Paul Reiser;1997;"William Morrow &amp; Company";22;176
671519751;Thirty Five Thousand Plus Baby Names: The Largest Selection of Popular and Unusual Names from Around the World;Bruce Lansky;1995;Meadowbrook;2;49,9
399505962;Indoor Cat;Patricia Curtis;1981;Perigee Books;4;199
812090381;Maine Coon Cats: Everything About Purchase, Care, Nutrition, Reproduction, Diseases, and Behavior (A Complete Pet Owner's Manual);Carol Himsel Daly;1995;Barron's Educational Series;3;49,9
156305700X;Really Important Stuff: My Kids Have Taught Me;Cynthia Copeland Lewis;1994;Workman Publishing;3;119
889652066;Making Your Home a Haven: Strategies for the Domestically Challenged;Cyndy Salzmann;2001;Horizon;4;59,9
140386645;The Westing Game (Now in Speak!);Ellen Raskin;1997;Penguin Putnam Books for Young Readers;13;164
345337662;Interview with the Vampire;Anne Rice;1993;Ballantine Books;1;219
345351525;The Queen of the Damned (Vampire Chronicles (Paperback));Anne Rice;1993;Ballantine Books;1;129
553205587;Lord God Made Them All;James Herriot;1982;Bantam Doubleday Dell;3;199
449003787;"\O\"" Is for Outlaw""";SUE GRAFTON;2001;Ballantine Books;1;89,9
867202076;Organic Chemistry;Marye Anne Fox;1994;"Jones &amp; Bartlett Pub";4;89,9
716723980;Inorganic Chemistry;D.F. Shriver;1994;"W H Freeman &amp; Co";0;49,9
765347539;Kushiel's Avatar (Kushiel's Legacy);Jacqueline Carey;2004;Tor Fantasy;3;89,9
965921506;In-Home Child Care: A Step-By-Step Guide to Quality, Affordable Care;Debra K., Dr. Shatoff;1998;Family CareWare, Inc.;3;39,9
471485527;Essentials of Computational Chemistry : Theories and Models;Christopher J.  Cramer;2002;"John Wiley &amp; Sons";1;66
765345048;Kushiel's Chosen (Kushiel's Legacy);Jacqueline Carey;2003;Tor Fantasy;0;69,9
385265700;The Book of Ruth (Oprah's Book Club (Paperback));Jane Hamilton;1990;Anchor;2;129
156935805;Virginia Woolf: A Biography;Quentin Bell;1974;Harvest Books;25;119
713442549;Karpov-Korchnoi: Massacre in Merano (A Batsford chess book);Raymond D Keene;1981;B.T. Batsford;2;139
094547069X;New Developments in Latvian Gambit;Kon Grivainis;1998;Chess Enterprises;4;129
486293556;Epic Battles of the Chessboard;R. N. Coles;1996;Dover Publications;1;69,9
20083513;BATTLE OF THE TITANS;Carolyn Keene;1991;Scribner Paper Fiction;6;149
140376410;The Ear, the Eye, and the Arm;Nancy Farmer;1995;Puffin Books;0;69,9
452281296;In the Cut;Susanna Moore;1999;Plume Books;12;199
1573229326;How to Be Good;Nick Hornby;2002;Riverhead Books;23;249
038072930X;Turbulent Souls: : A Catholic Son's Return To His Jewish Family;Stephen J. Dubner;1999;Perennial;1;99,9
068483376X;Succulent Wild Woman;Sark;1997;Fireside;0;99
068484270X;The HEALING OF AMERICA;Marianne Williamson;1997;"Simon &amp; Schuster";3;100
316754315;The Morning After: Sex, Fear, and Feminism on Campus;Katie Roiphe;1993;"Little Brown &amp; Co";2;119
671672576;LAST TEMPTATION OF CHRIST (Movie Tie in);Nikos Kazantzakis;1988;Touchstone;1;299
679743243;The Informers;BRET EASTON ELLIS;1995;Vintage;5;129
151003394;Africans in America: AMERICAN (AMERI)ca's Journey through Slavery;Charles Johnson;1998;Harcourt;1;69,9
385424736;The Rainmaker;John Grisham;1995;Doubleday Books;3;99,9
60923717;Love in Black and White: The Triumph of Love over Prejudice and Taboo;Mark Mathabane;1993;HarperCollins;0;150
671617028;The Color Purple;Alice Walker;1985;Pocket Books;4;279,3
440224772;Mirror Image;Danielle Steel;1999;Dell Publishing Company;1;0
345406036;The Shelter of Each Other: Rebuilding Our Families;Mary Bray Pipher;1997;Ballantine Books;0;176
871132389;Story of My Life: A Novel;Jay McInerney;1988;Pub Group West;4;249
345421825;The First Immortal;James L. Halperin;1998;Del Rey Books;3;179,9
61057983;Diaspora;Greg Egan;1999;Eos;25;149
8817844330;Confucio nel computer: Memoria accidentale del futuro;Furio Colombo;1995;Nuova Eri Rizzoli;1;99,9
373245513;And Babies Make Four  (Manhattan Multiples);Marie Ferrarella;2003;Silhouette;1;270
525440631;Monster Movers;George Ancona;1983;Penguin USA;18;209
373196504;The Tycoon's Double Trouble  (Daycare Dads);Susan Meier;2003;Silhouette;25;119
425130312;Legacy of Evil;Anna Clarke;1991;Berkley Pub Group;25;149
373123515;The Spaniard's Woman   Foreign Affairs (Harlequin Presents, 2351);Diana Hamilton;2003;Harlequin;22;164
373123531;The Greek Tycoon's Ultimatum   The Greek Tycoons (Harlequin Presents, 2353);Lucy Monroe;2003;Harlequin;13;229
375433465;The Firm (Random House Large Print);JOHN GRISHAM;2004;Random House Large Print;19;97,3
380752123;Each Time We Love;Shirlee Busbee;1993;Harper Mass Market Paperbacks;2;19,99
067170463X;Murder on the Orient Express;Agatha Christie;1978;Pocket Books;1;129
671543180;DEAD MANS FOLLY (Hercule Poirot Mysteries (Paperback));Agatha Christie;1984;Pocket;4;79,99
067170091X;Endless Night;Agatha Christie;1990;Pocket Books;11;219
671705997;Easy to Kill;Agatha Christie;1991;Pocket Books;2;99,9
671704664;And Then There Were None;Agatha Christie;1989;Pocket Books;2;99
373805217;A Careful Wife;Lindsay Armstrong;2002;Harlequin;10;349
671696513;ABC MURDERS;Agatha Christie;1989;Pocket;25;349
373123086;The Blind - Date Bride  (The Australians);Emma Darcy;2003;Harlequin;7;119
140390839;The Adventures of Tom Sawyer;Mark Twain;1987;Penguin Books;5;89,9
373123523;The Parisian Playboy   In Love With Her Boss;Helen Brooks;2003;Harlequin;1;199
821758179;Faery Magic;Mary Jo Putney;1998;Zebra Books;2;199
380896931;Tender Is the Storm;Johanna Lindsey;1985;Avon;1;89,9
971942315;The Greatest Discovery;Chris Sorensen;2003;Pond Publishing;1;99,9
3455059554;Der Fisch lernt fliegen. Unterwegs durch die Jahre.;Erika Pluhar;2000;"Hoffmann &amp; Campe";1;0
553275860;Narcissus and Goldmund;Hermann Hesse;1984;Bantam Books;25;79,99
844140898X;Fronteras de Lo Imposible;Iker Jimenez;2001;Edaf;10;299
8432206407;Sin Noticias De Gurb (Biblioteca breve);Eduardo Mendoza;1995;Planeta Pub Corp;5;209,4
739307312;The Da Vinci Code;DAN BROWN;2003;Random House Audio;13;249
3423105518;Name Der Rose;Umberto Eco;0;Distribooks Int'l+inc;0;40
812090284;2001 Spanish and English Idioms/2001 Modismos Espanoles E Ingleses: 2001 Modismos Espanoles E Ingleses;Eugene, Ph.D. Savaiano;1995;Barron's Educational Series;1;0
590254715;Spring Fever!;Peter Lerangis;1996;Scholastic;0;90
8478886818;Mi Gato Angus, El Primer Morreo Y El Pasta;Louise Rennison;2002;Distribooks;0;89,9
8477021473;Pozo y El Pendulo y Otras Historias Espeluzna;Edgar Allan Poe;1998;Valdemar;3;89,9
